Dependency,Version,SPDX ID,License,Indirect,Allowed
github.com/DataDog/zstd,v1.3.6-0.20190409195224-796139022798,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",Yes,Yes
github.com/Shopify/sarama,v1.23.1,MIT,MIT License,Yes,Yes
github.com/afex/hystrix-go,v0.0.0-20180502004556-fa1af6a1f4f5,MIT,MIT License,Yes,Yes
github.com/apache/thrift,v0.12.0,Apache-2.0,Apache License 2.0,Yes,Yes
github.com/beorn7/perks,v1.0.1,MIT,MIT License,Yes,Yes
github.com/davecgh/go-spew,v1.1.1,ISC,ISC License,Yes,Yes
github.com/eapache/go-resiliency,v1.1.0,MIT,MIT License,Yes,Yes
github.com/eapache/go-xerial-snappy,v0.0.0-20180814174437-776d5712da21,MIT,MIT License,Yes,Yes
github.com/eapache/queue,v1.1.0,MIT,MIT License,Yes,Yes
github.com/go-kit/kit,v0.9.0,MIT,MIT License,No,Yes
github.com/go-logfmt/logfmt,v0.4.0,MIT,MIT License,Yes,Yes
github.com/gogo/googleapis,v1.3.0,Apache-2.0,Apache License 2.0,Yes,Yes
github.com/gogo/protobuf,v1.3.0,Other,https://github.com/gogo/protobuf/blob/master/LICENSE,Yes,Yes
github.com/gogo/status,v1.1.0,Apache-2.0,Apache License 2.0,Yes,Yes
github.com/golang/protobuf,v1.3.2,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",Yes,Yes
github.com/golang/snappy,v0.0.1,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",Yes,Yes
github.com/gorilla/mux,v1.7.3,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",No,Yes
github.com/hashicorp/go-uuid,v1.0.1,MPL-2.0,Mozilla Public License 2.0,Yes,Yes
github.com/jcmturner/gofork,v0.0.0-20190328161633-dc7c13fece03,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",Yes,Yes
github.com/jmoiron/sqlx,v1.2.0,MIT,MIT License,No,Yes
github.com/matttproud/golang_protobuf_extensions,v1.0.1,Apache-2.0,Apache License 2.0,Yes,Yes
github.com/opentracing-contrib/go-observer,v0.0.0-20170622124052-a52f23424492,Apache-2.0,Apache License 2.0,Yes,Yes
github.com/opentracing-contrib/go-stdlib,v0.0.0-20190519235532-cf7a6c988dc9,Apache-2.0,Apache License 2.0,Yes,Yes
github.com/opentracing/opentracing-go,v1.1.0,Apache-2.0,Apache License 2.0,No,Yes
github.com/openzipkin-contrib/zipkin-go-opentracing,v0.3.5,Apache-2.0,Apache License 2.0,No,Yes
github.com/pierrec/lz4,v0.0.0-20190327172049-315a67e90e41,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",Yes,Yes
github.com/pkg/errors,v0.8.0,BSD-2-Clause,"BSD 2-Clause ""Simplified"" License",Yes,Yes
github.com/prometheus/client_golang,v1.1.0,Apache-2.0,Apache License 2.0,No,Yes
github.com/prometheus/client_model,v0.0.0-20190129233127-fd36f4220a90,Apache-2.0,Apache License 2.0,Yes,Yes
github.com/prometheus/common,v0.6.0,Apache-2.0,Apache License 2.0,Yes,Yes
github.com/prometheus/procfs,v0.0.3,Apache-2.0,Apache License 2.0,Yes,Yes
github.com/rcrowley/go-metrics,v0.0.0-20181016184325-3113b8401b8a,Other,https://github.com/rcrowley/go-metrics/blob/master/LICENSE,Yes,Yes
github.com/sirupsen/logrus,v1.2.0,MIT,MIT License,Yes,Yes
github.com/sony/gobreaker,v0.4.1,MIT,MIT License,No,Yes
github.com/streadway/handy,v0.0.0-20190108123426-d5acb3125c2a,Other,https://github.com/streadway/handy/blob/master/README.md,Yes,Yes
github.com/uber/jaeger-client-go,v2.17.0+incompatible,Apache-2.0,Apache License 2.0,Yes,Yes
github.com/uber/jaeger-lib,v2.1.1+incompatible,Apache-2.0,Apache License 2.0,Yes,Yes
github.com/weaveworks/common,v0.0.0-20190822150010-afb9996716e4,Apache-2.0,Apache License 2.0,No,Yes
github.com/weaveworks/promrus,v1.2.0,Apache-2.0,Apache License 2.0,Yes,Yes
golang.org/x/crypto,v0.0.0-20190510104115-cbcb75029529,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",Yes,Yes
golang.org/x/net,v0.0.0-20190827160401-ba9fcec4b297,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",Yes,Yes
golang.org/x/sys,v0.0.0-20190801041406-cbf593c0f2f3,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",Yes,Yes
golang.org/x/text,v0.3.0,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",Yes,Yes
golang.org/x/xerrors,v0.0.0-20190717185122-a985d3407aa7,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",Yes,Yes
google.golang.org/genproto,v0.0.0-20180817151627-c66870c02cf8,Apache-2.0,Apache License 2.0,Yes,Yes
google.golang.org/grpc,v1.23.0,Apache-2.0,Apache License 2.0,Yes,Yes
gopkg.in/goracle.v2,v2.20.1,Apache-2.0,Apache License 2.0,No,Yes
gopkg.in/jcmturner/aescts.v1,v1.0.1,Apache-2.0,Apache License 2.0,Yes,Yes
gopkg.in/jcmturner/dnsutils.v1,v1.0.1,Apache-2.0,Apache License 2.0,Yes,Yes
gopkg.in/jcmturner/gokrb5.v7,v7.2.3,Apache-2.0,Apache License 2.0,Yes,Yes
gopkg.in/jcmturner/rpc.v1,v1.1.0,Apache-2.0,Apache License 2.0,Yes,Yes